timestamp,temperature_c,humidity_percent,ambient_light
2025-01-01T00:00:00,20.29,36.21,10
2025-01-01T00:30:00,20.45,35.02,0
2025-01-01T01:00:00,20.43,36.02,1
2025-01-01T01:30:00,20.61,35.24,0
2025-01-01T02:00:00,20.39,37.08,1
2025-01-01T02:30:00,20.85,36.39,0
2025-01-01T03:00:00,20.37,36.19,0
2025-01-01T03:30:00,20.88,35.28,12
2025-01-01T04:00:00,20.81,36.20,2
2025-01-01T04:30:00,20.67,36.91,22
2025-01-01T05:00:00,20.85,35.92,22
2025-01-01T05:30:00,20.90,35.75,24
2025-01-01T06:00:00,20.94,38.43,52
2025-01-01T06:30:00,21.57,37.92,39
2025-01-01T07:00:00,21.51,39.56,45
2025-01-01T07:30:00,21.45,40.69,51
2025-01-01T08:00:00,21.43,39.10,58
2025-01-01T08:30:00,21.37,38.74,49
2025-01-01T09:00:00,21.55,40.27,79
2025-01-01T09:30:00,21.69,37.75,93
2025-01-01T10:00:00,21.99,37.72,136
2025-01-01T10:30:00,21.76,37.59,168
2025-01-01T11:00:00,21.80,38.45,167
2025-01-01T11:30:00,22.19,37.10,211
2025-01-01T12:00:00,21.80,35.53,215
2025-01-01T12:30:00,22.31,36.29,223
2025-01-01T13:00:00,22.13,36.72,220
2025-01-01T13:30:00,22.37,37.61,242
2025-01-01T14:00:00,22.26,37.05,238
2025-01-01T14:30:00,22.36,37.46,232
2025-01-01T15:00:00,22.49,36.96,245
2025-01-01T15:30:00,22.23,38.78,258
2025-01-01T16:00:00,22.66,38.18,250
2025-01-01T16:30:00,22.34,38.61,259
2025-01-01T17:00:00,22.30,37.89,256
2025-01-01T17:30:00,22.20,37.86,231
2025-01-01T18:00:00,21.79,38.65,195
2025-01-01T18:30:00,22.16,37.49,147
2025-01-01T19:00:00,21.92,37.32,110
2025-01-01T19:30:00,21.61,38.49,61
2025-01-01T20:00:00,21.38,38.73,51
2025-01-01T20:30:00,21.33,41.40,5
2025-01-01T21:00:00,21.20,38.15,20
2025-01-01T21:30:00,21.31,39.55,4
2025-01-01T22:00:00,21.04,37.18,24
2025-01-01T22:30:00,21.17,38.35,17
2025-01-01T23:00:00,21.14,39.03,0
2025-01-01T23:30:00,20.83,38.04,11
2025-01-02T00:00:00,20.64,35.23,3
2025-01-02T00:30:00,20.83,36.59,9
2025-01-02T01:00:00,20.50,36.65,17
2025-01-02T01:30:00,20.52,37.01,0
2025-01-02T02:00:00,20.59,36.76,0
2025-01-02T02:30:00,20.66,35.49,0
2025-01-02T03:00:00,20.50,37.58,5
2025-01-02T03:30:00,20.66,35.52,3
2025-01-02T04:00:00,20.42,35.86,11
2025-01-02T04:30:00,20.70,37.81,5
2025-01-02T05:00:00,20.82,38.09,4
2025-01-02T05:30:00,20.77,38.57,16
2025-01-02T06:00:00,20.83,38.03,12
2025-01-02T06:30:00,21.56,37.83,14
2025-01-02T07:00:00,21.27,37.90,15
2025-01-02T07:30:00,21.26,38.13,9
2025-01-02T08:00:00,21.28,37.79,18
2025-01-02T08:30:00,21.42,37.99,29
2025-01-02T09:00:00,21.59,38.45,27
2025-01-02T09:30:00,21.94,38.73,45
2025-01-02T10:00:00,21.44,37.68,35
2025-01-02T10:30:00,21.91,38.16,60
2025-01-02T11:00:00,22.18,36.72,82
2025-01-02T11:30:00,21.97,37.06,90
2025-01-02T12:00:00,22.36,36.99,109
2025-01-02T12:30:00,22.24,36.67,74
2025-01-02T13:00:00,22.57,36.78,87
2025-01-02T13:30:00,22.53,38.17,99
2025-01-02T14:00:00,22.15,37.68,96
2025-01-02T14:30:00,22.22,38.37,87
2025-01-02T15:00:00,22.52,38.09,124
2025-01-02T15:30:00,22.52,36.24,103
2025-01-02T16:00:00,22.50,38.28,120
2025-01-02T16:30:00,22.21,37.77,120
2025-01-02T17:00:00,22.69,39.55,106
2025-01-02T17:30:00,22.51,39.52,109
2025-01-02T18:00:00,22.28,38.95,79
2025-01-02T18:30:00,21.75,39.23,65
2025-01-02T19:00:00,21.73,38.16,46
2025-01-02T19:30:00,21.56,37.97,32
2025-01-02T20:00:00,21.39,38.85,11
2025-01-02T20:30:00,21.36,40.50,3
2025-01-02T21:00:00,21.39,39.74,0
2025-01-02T21:30:00,21.07,38.47,11
2025-01-02T22:00:00,21.18,39.21,9
2025-01-02T22:30:00,20.96,38.00,0
2025-01-02T23:00:00,21.00,38.19,5
2025-01-02T23:30:00,20.83,38.65,11
2025-01-03T00:00:00,20.73,36.64,8
2025-01-03T00:30:00,20.60,36.55,1
2025-01-03T01:00:00,20.69,37.44,22
2025-01-03T01:30:00,20.51,36.33,10
2025-01-03T02:00:00,20.50,36.56,6
2025-01-03T02:30:00,20.47,37.47,8
2025-01-03T03:00:00,20.51,36.77,8
2025-01-03T03:30:00,20.57,36.09,0
2025-01-03T04:00:00,20.59,35.44,14
2025-01-03T04:30:00,20.53,37.42,25
2025-01-03T05:00:00,20.89,37.02,31
2025-01-03T05:30:00,20.71,36.69,35
2025-01-03T06:00:00,21.21,37.97,38
2025-01-03T06:30:00,21.31,38.09,45
2025-01-03T07:00:00,21.45,38.61,70
2025-01-03T07:30:00,21.58,39.58,67
2025-01-03T08:00:00,21.37,38.32,54
2025-01-03T08:30:00,21.96,38.14,71
2025-01-03T09:00:00,21.54,38.61,87
2025-01-03T09:30:00,21.42,37.77,109
2025-01-03T10:00:00,21.81,37.69,150
2025-01-03T10:30:00,22.00,37.43,200
2025-01-03T11:00:00,22.04,37.75,217
2025-01-03T11:30:00,22.30,36.98,259
2025-01-03T12:00:00,22.33,36.99,277
2025-01-03T12:30:00,22.24,38.14,289
2025-01-03T13:00:00,22.38,36.16,274
2025-01-03T13:30:00,22.23,37.02,292
2025-01-03T14:00:00,22.23,38.32,297
2025-01-03T14:30:00,22.10,37.19,285
2025-01-03T15:00:00,22.33,37.32,311
2025-01-03T15:30:00,22.42,37.60,319
2025-01-03T16:00:00,22.72,39.00,320
2025-01-03T16:30:00,22.69,36.77,324
2025-01-03T17:00:00,22.69,36.31,326
2025-01-03T17:30:00,22.16,38.07,292
2025-01-03T18:00:00,22.43,37.67,251
2025-01-03T18:30:00,22.06,38.28,193
2025-01-03T19:00:00,21.73,38.73,152
2025-01-03T19:30:00,21.38,38.46,95
2025-01-03T20:00:00,21.33,38.80,50
2025-01-03T20:30:00,21.13,38.40,26
2025-01-03T21:00:00,21.04,40.00,15
2025-01-03T21:30:00,21.00,39.24,14
2025-01-03T22:00:00,21.27,39.79,10
2025-01-03T22:30:00,20.99,38.14,4
2025-01-03T23:00:00,20.91,38.54,12
2025-01-03T23:30:00,20.87,37.36,14
2025-01-04T00:00:00,20.42,35.27,4
2025-01-04T00:30:00,20.46,35.24,12
2025-01-04T01:00:00,20.63,36.13,7
2025-01-04T01:30:00,20.58,36.08,13
2025-01-04T02:00:00,20.75,36.16,9
2025-01-04T02:30:00,20.63,35.83,0
2025-01-04T03:00:00,20.64,34.84,20
2025-01-04T03:30:00,20.66,36.32,7
2025-01-04T04:00:00,20.86,35.63,1
2025-01-04T04:30:00,20.62,36.51,8
2025-01-04T05:00:00,20.87,37.25,17
2025-01-04T05:30:00,21.24,36.49,21
2025-01-04T06:00:00,21.21,37.90,42
2025-01-04T06:30:00,21.20,37.66,41
2025-01-04T07:00:00,21.30,39.23,48
2025-01-04T07:30:00,21.59,39.50,63
2025-01-04T08:00:00,21.64,39.73,62
2025-01-04T08:30:00,21.45,38.83,47
2025-01-04T09:00:00,21.64,38.33,81
2025-01-04T09:30:00,21.78,37.52,94
2025-01-04T10:00:00,21.78,37.86,133
2025-01-04T10:30:00,21.80,37.96,150
2025-01-04T11:00:00,21.78,38.17,183
2025-01-04T11:30:00,22.12,36.20,207
2025-01-04T12:00:00,22.22,36.83,242
2025-01-04T12:30:00,22.37,36.89,245
2025-01-04T13:00:00,22.48,37.47,238
2025-01-04T13:30:00,22.48,38.66,251
2025-01-04T14:00:00,22.63,38.15,259
2025-01-04T14:30:00,22.24,36.71,260
2025-01-04T15:00:00,22.19,37.32,276
2025-01-04T15:30:00,22.37,38.38,265
2025-01-04T16:00:00,22.42,38.88,282
2025-01-04T16:30:00,22.54,39.46,292
2025-01-04T17:00:00,22.33,39.18,269
2025-01-04T17:30:00,22.35,38.23,259
2025-01-04T18:00:00,22.01,38.71,218
2025-01-04T18:30:00,22.08,38.34,178
2025-01-04T19:00:00,21.63,39.60,126
2025-01-04T19:30:00,21.31,39.18,80
2025-01-04T20:00:00,21.30,38.39,41
2025-01-04T20:30:00,21.02,40.42,10
2025-01-04T21:00:00,21.10,40.02,16
2025-01-04T21:30:00,21.30,40.26,9
2025-01-04T22:00:00,21.00,39.57,17
2025-01-04T22:30:00,21.05,37.65,20
2025-01-04T23:00:00,21.11,37.25,16
2025-01-04T23:30:00,20.72,37.60,0
2025-01-05T00:00:00,20.40,35.47,1
2025-01-05T00:30:00,20.61,36.37,11
2025-01-05T01:00:00,20.66,35.84,6
2025-01-05T01:30:00,20.58,37.50,13
2025-01-05T02:00:00,20.71,36.95,14
2025-01-05T02:30:00,20.23,36.84,7
2025-01-05T03:00:00,20.51,35.71,2
2025-01-05T03:30:00,20.59,36.88,0
2025-01-05T04:00:00,20.63,35.97,3
2025-01-05T04:30:00,20.77,36.49,11
2025-01-05T05:00:00,20.73,37.39,23
2025-01-05T05:30:00,20.84,36.96,29
2025-01-05T06:00:00,21.22,37.26,43
2025-01-05T06:30:00,21.17,40.70,38
2025-01-05T07:00:00,21.29,39.00,44
2025-01-05T07:30:00,21.60,40.50,52
2025-01-05T08:00:00,21.53,38.72,56
2025-01-05T08:30:00,21.74,39.79,54
2025-01-05T09:00:00,21.83,39.83,81
2025-01-05T09:30:00,21.60,38.69,95
2025-01-05T10:00:00,21.90,38.05,113
2025-01-05T10:30:00,22.11,38.11,172
2025-01-05T11:00:00,22.08,37.78,202
2025-01-05T11:30:00,22.26,37.60,243
2025-01-05T12:00:00,22.25,37.33,247
2025-01-05T12:30:00,22.18,36.30,227
2025-01-05T13:00:00,22.39,37.67,246
2025-01-05T13:30:00,22.13,38.08,254
2025-01-05T14:00:00,22.35,37.47,257
2025-01-05T14:30:00,22.46,38.15,251
2025-01-05T15:00:00,22.41,36.85,272
2025-01-05T15:30:00,22.55,37.91,276
2025-01-05T16:00:00,22.26,38.78,275
2025-01-05T16:30:00,22.52,39.03,274
2025-01-05T17:00:00,22.64,38.26,272
2025-01-05T17:30:00,22.43,37.25,254
2025-01-05T18:00:00,22.18,39.21,211
2025-01-05T18:30:00,21.91,38.84,169
2025-01-05T19:00:00,21.56,38.56,133
2025-01-05T19:30:00,21.51,38.19,84
2025-01-05T20:00:00,21.07,37.32,43
2025-01-05T20:30:00,21.27,39.28,12
2025-01-05T21:00:00,21.18,38.01,13
2025-01-05T21:30:00,20.95,38.96,13
2025-01-05T22:00:00,20.89,38.51,17
2025-01-05T22:30:00,21.33,37.49,13
2025-01-05T23:00:00,20.84,37.31,23
2025-01-05T23:30:00,21.04,37.38,11
2025-01-06T00:00:00,20.60,36.31,21
2025-01-06T00:30:00,20.59,33.77,1
2025-01-06T01:00:00,20.39,36.00,3
2025-01-06T01:30:00,20.40,35.30,14
2025-01-06T02:00:00,20.59,35.63,8
2025-01-06T02:30:00,20.60,37.18,0
2025-01-06T03:00:00,20.62,35.68,12
2025-01-06T03:30:00,20.50,34.42,4
2025-01-06T04:00:00,20.33,36.28,5
2025-01-06T04:30:00,20.65,35.60,0
2025-01-06T05:00:00,20.72,37.00,23
2025-01-06T05:30:00,21.11,37.29,27
2025-01-06T06:00:00,20.95,38.68,19
2025-01-06T06:30:00,21.33,39.06,19
2025-01-06T07:00:00,21.52,38.87,47
2025-01-06T07:30:00,21.43,40.11,35
2025-01-06T08:00:00,21.32,40.26,22
2025-01-06T08:30:00,21.19,39.79,42
2025-01-06T09:00:00,21.60,38.72,54
2025-01-06T09:30:00,21.81,38.14,60
2025-01-06T10:00:00,21.64,37.89,62
2025-01-06T10:30:00,21.64,37.05,97
2025-01-06T11:00:00,21.94,37.23,94
2025-01-06T11:30:00,22.34,37.40,120
2025-01-06T12:00:00,22.26,36.29,117
2025-01-06T12:30:00,22.43,37.12,134
2025-01-06T13:00:00,21.83,38.09,125
2025-01-06T13:30:00,22.66,36.90,132
2025-01-06T14:00:00,22.46,36.77,142
2025-01-06T14:30:00,22.30,38.70,146
2025-01-06T15:00:00,22.51,37.28,142
2025-01-06T15:30:00,22.52,36.39,143
2025-01-06T16:00:00,22.63,37.11,160
2025-01-06T16:30:00,22.41,38.43,141
2025-01-06T17:00:00,22.53,38.57,155
2025-01-06T17:30:00,22.55,39.29,135
2025-01-06T18:00:00,21.99,39.48,104
2025-01-06T18:30:00,21.90,39.17,94
2025-01-06T19:00:00,21.98,38.75,52
2025-01-06T19:30:00,21.48,39.06,39
2025-01-06T20:00:00,21.56,38.85,11
2025-01-06T20:30:00,21.31,38.22,24
2025-01-06T21:00:00,21.24,38.04,15
2025-01-06T21:30:00,21.54,37.51,13
2025-01-06T22:00:00,21.23,39.11,9
2025-01-06T22:30:00,21.17,38.17,17
2025-01-06T23:00:00,20.82,39.98,17
2025-01-06T23:30:00,20.76,38.05,16
2025-01-07T00:00:00,20.43,36.07,0
2025-01-07T00:30:00,20.68,35.71,2
2025-01-07T01:00:00,20.58,36.03,0
2025-01-07T01:30:00,20.30,34.99,0
2025-01-07T02:00:00,20.24,35.62,5
2025-01-07T02:30:00,20.51,35.54,0
2025-01-07T03:00:00,20.35,35.09,0
2025-01-07T03:30:00,20.63,35.15,3
2025-01-07T04:00:00,20.50,38.43,0
2025-01-07T04:30:00,20.74,36.55,1
2025-01-07T05:00:00,20.89,37.36,1
2025-01-07T05:30:00,21.06,38.01,23
2025-01-07T06:00:00,21.06,39.34,15
2025-01-07T06:30:00,21.00,39.00,19
2025-01-07T07:00:00,21.27,39.66,18
