timestamp,temperature_c,humidity_percent,ambient_light
2025-01-01T00:00:00,24.29,31.21,17
2025-01-01T00:30:00,24.45,30.02,7
2025-01-01T01:00:00,24.43,31.02,8
2025-01-01T01:30:00,24.61,30.24,0
2025-01-01T02:00:00,24.39,32.08,8
2025-01-01T02:30:00,24.85,31.39,3
2025-01-01T03:00:00,24.37,31.19,3
2025-01-01T03:30:00,24.95,30.28,22
2025-01-01T04:00:00,25.10,31.20,21
2025-01-01T04:30:00,25.28,31.91,55
2025-01-01T05:00:00,25.89,30.92,73
2025-01-01T05:30:00,26.40,30.75,94
2025-01-01T06:00:00,26.90,33.43,142
2025-01-01T06:30:00,27.95,32.92,147
2025-01-01T07:00:00,28.22,34.56,167
2025-01-01T07:30:00,28.38,35.69,182
2025-01-01T08:00:00,28.43,34.10,192
2025-01-01T08:30:00,28.38,33.74,185
2025-01-01T09:00:00,28.58,35.27,220
2025-01-01T09:30:00,28.74,32.75,242
2025-01-01T10:00:00,29.07,32.72,293
2025-01-01T10:30:00,28.88,32.59,335
2025-01-01T11:00:00,28.95,33.45,344
2025-01-01T11:30:00,29.37,32.10,396
2025-01-01T12:00:00,29.00,30.53,405
2025-01-01T12:30:00,29.51,31.29,414
2025-01-01T13:00:00,29.30,31.72,404
2025-01-01T13:30:00,29.46,32.61,406
2025-01-01T14:00:00,29.25,32.05,371
2025-01-01T14:30:00,29.21,32.46,331
2025-01-01T15:00:00,29.21,31.96,308
2025-01-01T15:30:00,28.84,33.78,291
2025-01-01T16:00:00,29.19,33.18,262
2025-01-01T16:30:00,28.84,33.61,264
2025-01-01T17:00:00,28.81,32.92,262
2025-01-01T17:30:00,28.73,32.97,241
2025-01-01T18:00:00,28.36,33.90,209
2025-01-01T18:30:00,28.78,32.91,167
2025-01-01T19:00:00,28.59,32.91,136
2025-01-01T19:30:00,28.34,34.24,92
2025-01-01T20:00:00,28.15,34.61,86
2025-01-01T20:30:00,28.12,37.37,43
2025-01-01T21:00:00,28.00,34.15,59
2025-01-01T21:30:00,28.06,35.54,43
2025-01-01T22:00:00,27.65,33.11,61
2025-01-01T22:30:00,27.56,34.21,52
2025-01-01T23:00:00,27.24,34.78,28
2025-01-01T23:30:00,26.60,33.67,39
2025-01-02T00:00:00,24.66,30.23,6
2025-01-02T00:30:00,24.85,31.59,12
2025-01-02T01:00:00,24.51,31.65,20
2025-01-02T01:30:00,24.53,32.01,0
2025-01-02T02:00:00,24.61,31.76,0
2025-01-02T02:30:00,24.68,30.49,0
2025-01-02T03:00:00,24.52,32.58,8
2025-01-02T03:30:00,24.75,30.52,8
2025-01-02T04:00:00,24.72,30.86,19
2025-01-02T04:30:00,25.34,32.81,19
2025-01-02T05:00:00,25.87,33.09,26
2025-01-02T05:30:00,26.29,33.57,46
2025-01-02T06:00:00,26.81,33.03,51
2025-01-02T06:30:00,27.95,32.83,59
2025-01-02T07:00:00,28.00,32.90,67
2025-01-02T07:30:00,28.20,33.13,65
2025-01-02T08:00:00,28.29,32.79,75
