timestamp,temperature_c,humidity_percent,ambient_light
2025-01-01T00:00:00,22.60,37.61,98
2025-01-01T00:30:00,22.10,35.06,72
2025-01-01T01:00:00,21.58,36.79,73
2025-01-01T01:30:00,22.32,35.67,93
2025-01-01T02:00:00,21.99,36.21,106
2025-01-01T02:30:00,21.72,34.62,112
2025-01-01T03:00:00,22.12,34.50,109
2025-01-01T03:30:00,21.63,35.74,65
2025-01-01T04:00:00,22.57,38.22,77
2025-01-01T04:30:00,22.09,37.13,103
2025-01-01T05:00:00,21.90,36.10,67
2025-01-01T05:30:00,22.64,37.29,106
2025-01-01T06:00:00,22.29,39.92,49
2025-01-01T06:30:00,23.22,37.04,59
2025-01-01T07:00:00,22.62,38.34,66
2025-01-01T07:30:00,23.23,39.66,87
2025-01-01T08:00:00,23.05,40.33,102
2025-01-01T08:30:00,22.63,39.03,48
2025-01-01T09:00:00,22.77,37.44,107
2025-01-01T09:30:00,23.66,40.60,112
2025-01-01T10:00:00,23.38,39.13,170
2025-01-01T10:30:00,23.27,36.45,235
2025-01-01T11:00:00,23.44,35.97,266
2025-01-01T11:30:00,23.08,38.08,325
2025-01-01T12:00:00,23.79,37.51,327
2025-01-01T12:30:00,23.13,34.90,352
2025-01-01T13:00:00,23.95,34.97,300
2025-01-01T13:30:00,24.48,37.89,324
2025-01-01T14:00:00,24.16,37.08,271
2025-01-01T14:30:00,23.98,35.27,233
2025-01-01T15:00:00,24.16,38.14,211
2025-01-01T15:30:00,24.10,38.71,174
2025-01-01T16:00:00,23.66,38.49,108
2025-01-01T16:30:00,23.57,36.59,115
2025-01-01T17:00:00,23.81,38.98,131
2025-01-01T17:30:00,23.43,39.27,144
2025-01-01T18:00:00,23.70,39.75,135
2025-01-01T18:30:00,22.68,37.28,138
2025-01-01T19:00:00,22.96,36.21,73
2025-01-01T19:30:00,23.53,36.14,110
2025-01-01T20:00:00,22.87,37.98,89
2025-01-01T20:30:00,22.33,37.99,70
2025-01-01T21:00:00,22.15,40.12,82
2025-01-01T21:30:00,22.25,36.79,115
2025-01-01T22:00:00,23.49,41.07,94
2025-01-01T22:30:00,23.02,37.21,50
2025-01-01T23:00:00,22.39,40.71,77
2025-01-01T23:30:00,21.89,36.40,127
2025-01-02T00:00:00,21.83,33.29,65
2025-01-02T00:30:00,21.65,34.12,50
2025-01-02T01:00:00,21.40,36.14,74
2025-01-02T01:30:00,20.96,34.58,113
2025-01-02T02:00:00,21.59,35.01,69
2025-01-02T02:30:00,21.73,35.28,77
2025-01-02T03:00:00,21.32,35.90,103
2025-01-02T03:30:00,20.99,35.29,98
2025-01-02T04:00:00,21.66,36.15,98
2025-01-02T04:30:00,21.90,34.12,59
2025-01-02T05:00:00,22.41,37.16,79
2025-01-02T05:30:00,22.40,37.00,111
2025-01-02T06:00:00,21.75,37.50,52
2025-01-02T06:30:00,22.56,34.53,91
2025-01-02T07:00:00,22.15,34.68,86
